"method","route","flow","mode","authorization","file","line"
"GET","/api/auth/[...all]","","Human account credential flow","Existing credential, provider, native or public boundary; see linked route","src/app/api/auth/[...all]/route.ts","20"
"POST","/api/auth/[...all]","","Human account credential flow","Existing credential, provider, native or public boundary; see linked route","src/app/api/auth/[...all]/route.ts","21"
"POST","/api/leads","","Human pilot application handoff","Existing credential, provider, native or public boundary; see linked route","src/app/api/leads/route.ts","87"
"POST","/api/v1/billing/paddle/webhook","","Signed provider callback; not an agent action","Existing credential, provider, native or public boundary; see linked route","src/app/api/v1/billing/paddle/webhook/route.ts","8"
"POST","/api/v1/client/invitations/accept","","Human invitation/token handoff","Existing credential, provider, native or public boundary; see linked route","src/app/api/v1/client/invitations/accept/route.ts","8"
"POST","/api/v1/client/invitations/stage","","Human invitation/token handoff","Existing credential, provider, native or public boundary; see linked route","src/app/api/v1/client/invitations/stage/route.ts","10"
"PATCH","/api/v1/client/notifications/[notificationId]","client_inbox.mark_read","Tool","Authenticated client projection; collaborator/approver server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/client/notifications/[notificationId]/route.ts","12"
"POST","/api/v1/client/notifications/[notificationId]","client_inbox.retry_email","Tool with human confirmation","Authenticated client projection; collaborator/approver server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/client/notifications/[notificationId]/route.ts","22"
"GET","/api/v1/client/notifications","client_inbox.list","Tool","Authenticated client projection; collaborator/approver server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/client/notifications/route.ts","7"
"POST","/api/v1/client/projects/[projectId]/acceptance-targets/[targetId]/actions","client_delivery_acceptance.respond","Tool with human confirmation","Authenticated client projection; collaborator/approver server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/client/projects/[projectId]/acceptance-targets/[targetId]/actions/route.ts","10"
"POST","/api/v1/client/projects/[projectId]/discussion","client_discussion.post","Tool with human confirmation","Authenticated client projection; collaborator/approver server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/client/projects/[projectId]/discussion/route.ts","10"
"POST","/api/v1/client/projects/[projectId]/packets/[packetId]/actions","client_packet_response.respond","Tool with human confirmation","Authenticated client projection; collaborator/approver server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/client/projects/[projectId]/packets/[packetId]/actions/route.ts","10"
"POST","/api/v1/client/projects/[projectId]/requests","client_requests.create","Tool","Authenticated client projection; collaborator/approver server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/client/projects/[projectId]/requests/route.ts","10"
"GET","/api/v1/client/projects/[projectId]","client_project_access.read","Tool","Authenticated client projection; collaborator/approver server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/client/projects/[projectId]/route.ts","9"
"GET","/api/v1/client/projects","client_project_access.list","Tool","Authenticated client projection; collaborator/approver server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/client/projects/route.ts","5"
"GET","/api/v1/desktop/bootstrap","","Native bootstrap/notification transport","Existing credential, provider, native or public boundary; see linked route","src/app/api/v1/desktop/bootstrap/route.ts","6"
"GET","/api/v1/desktop/notifications","","Native bootstrap/notification transport","Existing credential, provider, native or public boundary; see linked route","src/app/api/v1/desktop/notifications/route.ts","15"
"GET","/api/v1/integrations/github/callback","","Signed provider callback; not an agent action","Existing credential, provider, native or public boundary; see linked route","src/app/api/v1/integrations/github/callback/route.ts","22"
"POST","/api/v1/integrations/github/webhook","","Signed provider callback; not an agent action","Existing credential, provider, native or public boundary; see linked route","src/app/api/v1/integrations/github/webhook/route.ts","8"
"POST","/api/v1/invitations/accept","","Human invitation/token handoff","Existing credential, provider, native or public boundary; see linked route","src/app/api/v1/invitations/accept/route.ts","8"
"POST","/api/v1/invitations/stage","","Human invitation/token handoff","Existing credential, provider, native or public boundary; see linked route","src/app/api/v1/invitations/stage/route.ts","8"
"PATCH","/api/v1/workspaces/[workspaceId]/allocations/[allocationId]","project_allocations.update","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/allocations/[allocationId]/route.ts","11"
"DELETE","/api/v1/workspaces/[workspaceId]/allocations/[allocationId]","project_allocations.remove","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/allocations/[allocationId]/route.ts","24"
"GET","/api/v1/workspaces/[workspaceId]/allocations","project_allocations.list","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/allocations/route.ts","12"
"POST","/api/v1/workspaces/[workspaceId]/allocations","project_allocations.create","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/allocations/route.ts","26"
"POST","/api/v1/workspaces/[workspaceId]/billing/checkout","workspace_billing.checkout","Human handoff","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/billing/checkout/route.ts","9"
"POST","/api/v1/workspaces/[workspaceId]/billing/portal","workspace_billing.portal","Human handoff","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/billing/portal/route.ts","7"
"GET","/api/v1/workspaces/[workspaceId]/billing","workspace_billing.read","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/billing/route.ts","7"
"POST","/api/v1/workspaces/[workspaceId]/capacity/availability","capacity_planning.set_default","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/capacity/availability/route.ts","9"
"POST","/api/v1/workspaces/[workspaceId]/capacity/members/[memberUserId]/availability","capacity_planning.set_member","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/capacity/members/[memberUserId]/availability/route.ts","11"
"GET","/api/v1/workspaces/[workspaceId]/capacity","capacity_planning.read","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/capacity/route.ts","9"
"PATCH","/api/v1/workspaces/[workspaceId]/client-notifications/[notificationId]","workspace_inbox.mark_client_read","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/client-notifications/[notificationId]/route.ts","9"
"GET","/api/v1/workspaces/[workspaceId]/clients/[clientId]","client_accounts.read","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/clients/[clientId]/route.ts","11"
"PATCH","/api/v1/workspaces/[workspaceId]/clients/[clientId]","client_accounts.update","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/clients/[clientId]/route.ts","21"
"GET","/api/v1/workspaces/[workspaceId]/clients","client_accounts.list","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/clients/route.ts","12"
"POST","/api/v1/workspaces/[workspaceId]/clients","client_accounts.create","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/clients/route.ts","33"
"GET","/api/v1/workspaces/[workspaceId]/commercial-exposure","commercial_exposure.workspace","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/commercial-exposure/route.ts","9"
"POST","/api/v1/workspaces/[workspaceId]/exports/[exportId]/parts/[partNumber]","workspace_exports.download_part","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/exports/[exportId]/parts/[partNumber]/route.ts","14"
"GET","/api/v1/workspaces/[workspaceId]/exports/[exportId]","workspace_exports.read","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/exports/[exportId]/route.ts","7"
"GET","/api/v1/workspaces/[workspaceId]/exports/delivery-core","workspace_exports.download_delivery_csv","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/exports/delivery-core/route.ts","9"
"POST","/api/v1/workspaces/[workspaceId]/exports","workspace_exports.create","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/exports/route.ts","7"
"POST","/api/v1/workspaces/[workspaceId]/imports/[sessionId]/confirm","delivery_import.confirm","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/imports/[sessionId]/confirm/route.ts","11"
"GET","/api/v1/workspaces/[workspaceId]/imports/[sessionId]","delivery_import.read","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/imports/[sessionId]/route.ts","11"
"POST","/api/v1/workspaces/[workspaceId]/imports/preview","delivery_import.preview","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/imports/preview/route.ts","10"
"GET","/api/v1/workspaces/[workspaceId]/imports","delivery_import.list","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/imports/route.ts","9"
"POST","/api/v1/workspaces/[workspaceId]/invitations/[invitationId]/reissue","workspace_invitations.reissue","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/invitations/[invitationId]/reissue/route.ts","13"
"DELETE","/api/v1/workspaces/[workspaceId]/invitations/[invitationId]","workspace_invitations.revoke","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/invitations/[invitationId]/route.ts","9"
"GET","/api/v1/workspaces/[workspaceId]/invitations","workspace_invitations.list","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/invitations/route.ts","19"
"POST","/api/v1/workspaces/[workspaceId]/invitations","workspace_invitations.invite","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/invitations/route.ts","37"
