"file","line","component","control","label","handlers","category","flows","mode"
"src/app/verification-status/page.tsx","36","VerificationStatusPage","Link","Continue <span aria-hidden=""true"">↗</span>","href={destination}","Account access","account_access / invitation_access","Human credential or invitation handoff"
"src/app/verification-status/page.tsx","40","VerificationStatusPage","Link","Return to sign in","href=""/sign-in""","Account access","account_access / invitation_access","Human credential or invitation handoff"
"src/components/auth-forms.tsx","64","SignUpForm","form","<FormControl label=""Full name"" name=""name"" autoComplete=""name"" maxLength={100} /> <FormControl label=""Work email"" name=""email"" type=""email"" autoComplete=""email"" maxLength={254} /> <FormControl label=""Password"" name=""password"" type=""password"" autoComplete=""new-password"" minLength={8} maxLength={128} hint=""8–128 characte","onSubmit={submit}","Account access","account_access / invitation_access","Human credential or invitation handoff"
"src/components/auth-forms.tsx","99","SignUpForm","Link","Sign in","href={`/sign-in?callbackURL=${encodeURIComponent(callbackURL)}`}","Account access","account_access / invitation_access","Human credential or invitation handoff"
"src/components/auth-forms.tsx","141","SignInForm","form","<FormControl label=""Work email"" name=""email"" type=""email"" autoComplete=""email"" maxLength={254} /> <FormControl label=""Password"" name=""password"" type=""password"" autoComplete=""current-password"" minLength={8} maxLength={128} /> <SubmitButton pending={pending}>Sign in</SubmitButton> <FormStatus status={status} /> <div clas","onSubmit={submit}","Account access","account_access / invitation_access","Human credential or invitation handoff"
"src/components/auth-forms.tsx","160","SignInForm","Link","Forgot password?","href=""/forgot-password""","Account access","account_access / invitation_access","Human credential or invitation handoff"
"src/components/auth-forms.tsx","161","SignInForm","Link","Create account","href={`/sign-up?callbackURL=${encodeURIComponent(callbackURL)}`}","Account access","account_access / invitation_access","Human credential or invitation handoff"
"src/components/auth-forms.tsx","190","ForgotPasswordForm","form","<FormControl label=""Work email"" name=""email"" type=""email"" autoComplete=""email"" maxLength={254} /> <SubmitButton pending={pending}>Send reset link</SubmitButton> <FormStatus status={status} /> <p className=""form-alternative""> <Link href=""/sign-in"">Return to sign in</Link> </p>","onSubmit={submit}","Account access","account_access / invitation_access","Human credential or invitation handoff"
"src/components/auth-forms.tsx","201","ForgotPasswordForm","Link","Return to sign in","href=""/sign-in""","Account access","account_access / invitation_access","Human credential or invitation handoff"
"src/components/auth-forms.tsx","249","ResetPasswordForm","form","<FormControl label=""New password"" name=""password"" type=""password"" autoComplete=""new-password"" minLength={8} maxLength={128} hint=""8–128 characters"" disabled={!token} /> <FormControl label=""Confirm password"" name=""confirmPassword"" type=""password"" autoComplete=""new-password"" minLength={8} maxLength={128} disabled={!token","onSubmit={submit}","Account access","account_access / invitation_access","Human credential or invitation handoff"
